the_index,Title,DomesticTotalGross,RunTime,ReleaseDate,Director,ProductionBudget,InRelease,MpaaRating,Distributor,Genre,Nominations,Wins,IntDayOfTheYear,IntMonthOfTheYear,DayOfTheYear^2,OpeningGross,OpeningRank,OpeningRatio,GenreMap_Comedy
http://www.boxofficemojo.com/movies/?id=ali.htm,Ali,58203105.0,156.0,2001-12-25,Michael Mann,107000000.0,52,R,Sony / Columbia,Sports Drama,2,0,359,12,128881,14710892.0,4.0,25.275098295872702,0
http://www.boxofficemojo.com/movies/?id=americassweethearts.htm,America's Sweethearts,93607673.0,102.0,2001-07-20,Joe Roth,46000000.0,101,PG-13,Sony (Revolution),Romantic Comedy,0,0,201,7,40401,30181877.0,2.0,32.2429519212597,0
http://www.boxofficemojo.com/movies/?id=anygivensunday.htm,Any Given Sunday,75530832.0,157.0,1999-12-22,Oliver Stone,55000000.0,100,R,Warner Bros.,Sports Drama,0,0,356,12,126736,13584625.0,1.0,17.985536025870864,0
http://www.boxofficemojo.com/movies/?id=babyboy.htm,Baby Boy,28734552.0,129.0,2001-06-27,John Singleton,16000000.0,75,R,Sony / Columbia,Drama,0,0,178,6,31684,8606403.0,5.0,29.951408325419514,0
http://www.boxofficemojo.com/movies/?id=bicentennialman.htm,Bicentennial Man,58223861.0,131.0,1999-12-17,Chris Columbus,100000000.0,168,PG,Buena Vista,Sci-Fi,1,0,351,12,123201,8234926.0,5.0,14.143558772236009,0
http://www.boxofficemojo.com/movies/?id=bigdaddy.htm,Big Daddy,163479795.0,93.0,1999-06-25,Dennis Dugan,34.0,129,PG-13,Sony / Columbia,Comedy,0,0,176,6,30976,41536370.0,1.0,25.407647471052922,1
http://www.boxofficemojo.com/movies/?id=bowfinger.htm,Bowfinger,66384775.0,97.0,1999-08-13,Frank Oz,55000000.0,112,PG-13,Universal,Comedy,0,0,225,8,50625,18062550.0,2.0,27.208874323969614,1
http://www.boxofficemojo.com/movies/?id=bringiton.htm,Bring It On,68379000.0,98.0,2000-08-25,Peyton Reed,11000000.0,133,PG-13,Universal,Sports Comedy,0,0,238,8,56644,17362105.0,1.0,25.390989923807016,1
http://www.boxofficemojo.com/movies/?id=captaincorellismandolin.htm,Captain Corelli's Mandolin,25543895.0,129.0,2001-08-17,John Madden,57000000.0,63,R,Universal,War Romance,0,0,229,8,52441,7209345.0,6.0,28.22335826231669,0
http://www.boxofficemojo.com/movies/?id=charliesangels.htm,Charlie's Angels,125305545.0,98.0,2000-11-03,McG,93000000.0,115,PG-13,Sony / Columbia,Action Comedy,0,0,308,11,94864,40128550.0,1.0,32.02456044542961,1
http://www.boxofficemojo.com/movies/?id=contender.htm,The Contender,17872723.0,127.0,2000-10-13,Rod Lurie,20000000.0,112,R,DreamWorks,Drama / Thriller,2,0,287,10,82369,5363900.0,5.0,30.011655190985728,0
http://www.boxofficemojo.com/movies/?id=deepbluesea.htm,Deep Blue Sea,73648142.0,105.0,1999-07-30,Renny Harlin,60000000.0,122,R,Warner Bros.,Horror,0,0,211,7,44521,19107643.0,3.0,25.944501084630215,0
http://www.boxofficemojo.com/movies/?id=evolution.htm,Evolution,38345494.0,102.0,2001-06-08,Ivan Reitman,80000000.0,77,PG-13,DreamWorks,Sci-Fi Comedy,0,0,159,6,25281,13408351.0,4.0,34.967214139945625,0
http://www.boxofficemojo.com/movies/?id=exitwounds.htm,Exit Wounds,51758599.0,101.0,2001-03-16,Andrzej Bartkowiak,50000000.0,94,R,Warner Bros.,Action,0,0,75,3,5625,18485586.0,1.0,35.715004573442954,0
http://www.boxofficemojo.com/movies/?id=familyman.htm,The Family Man,75793305.0,126.0,2000-12-22,Brett Ratner,60000000.0,105,PG-13,Universal,Fantasy Comedy,0,0,357,12,127449,10554960.0,4.0,13.925979346064933,1
http://www.boxofficemojo.com/movies/?id=fastandfurious.htm,The Fast and the Furious,144533925.0,106.0,2001-06-22,Rob Cohen,38000000.0,133,PG-13,Universal,Action,0,0,173,6,29929,40089015.0,1.0,27.736751077644918,0
http://www.boxofficemojo.com/movies/?id=fellowshipofthering.htm,The Lord of the Rings: The Fellowship of the Ring,313364114.0,178.0,2001-12-19,Peter Jackson,93000000.0,243,PG-13,New Line,Fantasy,13,4,353,12,124609,47211490.0,1.0,15.066016780721739,0
http://www.boxofficemojo.com/movies/?id=galaxyquest.htm,Galaxy Quest,71583916.0,102.0,1999-12-25,Dean Parisot,45000000.0,146,PG,DreamWorks,Comedy,0,0,359,12,128881,7012630.0,7.0,9.796376605046307,1
http://www.boxofficemojo.com/movies/?id=gladiator.htm,Gladiator,187705427.0,155.0,2000-05-05,Ridley Scott,103000000.0,371,R,DreamWorks,Historical Epic,12,5,126,5,15876,34819017.0,1.0,18.549819020416496,0
